t;w;x;y;z;ax;ay;az
6196;0.00;0.04;-1.00;0.00;65;-52;-8678
6214;0.00;0.04;-1.00;0.00;68;-53;-8681
6232;0.00;0.04;-1.00;0.00;69;-50;-8684
6251;0.00;0.04;-1.00;0.00;69;-52;-8692
6268;0.00;0.04;-1.00;0.00;60;-49;-8692
6285;0.00;0.04;-1.00;0.00;62;-49;-8691
6308;0.00;0.04;-1.00;0.00;59;-53;-8690
6326;0.00;0.04;-1.00;0.00;59;-53;-8693
6341;0.00;0.04;-1.00;0.00;59;-50;-8697
6357;0.00;0.04;-1.00;0.00;61;-52;-8699
6376;0.00;0.04;-1.00;0.00;60;-49;-8691
6394;0.00;0.04;-1.00;0.00;56;-49;-8698
6410;0.00;0.04;-1.00;0.00;53;-50;-8708
6426;0.00;0.04;-1.00;0.00;60;-49;-8708
6449;0.00;0.04;-1.00;0.00;62;-44;-8703
6466;0.00;0.04;-1.00;0.00;61;-46;-8698
6481;0.00;0.28;-0.55;-1.89;-16368;53;-1
6503;0.00;0.04;-1.00;0.00;55;-54;-8701
6521;0.00;0.04;-1.00;0.00;52;-52;-8693
6538;0.00;0.04;-1.00;0.00;54;-53;-8688
6554;0.00;0.04;-1.00;0.00;56;-55;-8686
6571;0.00;0.04;-1.00;0.00;59;-55;-8688
6590;0.00;0.04;-1.00;0.00;60;-52;-8689
6606;0.00;0.04;-1.00;0.00;63;-52;-8694
6623;0.00;0.04;-1.00;0.00;63;-53;-8694
6640;0.00;0.04;-1.00;0.00;61;-52;-8699
6658;0.00;0.04;-1.00;0.00;65;-49;-8696
6678;0.00;0.04;-1.00;0.00;64;-50;-8693
6695;0.00;0.04;-1.00;0.00;63;-55;-8692
6713;0.00;0.04;-1.00;0.00;57;-56;-8695
6730;0.00;0.04;-1.00;0.00;55;-59;-8697
6748;0.00;0.04;-1.00;0.00;58;-59;-8700
6765;0.00;0.04;-1.00;0.00;55;-56;-8701
6782;0.00;0.04;-1.00;0.00;55;-58;-8699
6800;0.00;0.04;-1.00;0.00;55;-59;-8699
6816;0.00;0.04;-1.00;0.00;57;-58;-8697
6834;0.00;0.04;-1.00;0.00;55;-53;-8705
6851;0.00;0.04;-1.00;0.00;56;-50;-8702
6868;0.00;0.04;-1.00;0.00;57;-53;-8697
6886;0.00;0.04;-1.00;0.00;57;-56;-8692
6907;0.00;0.04;-1.00;0.00;58;-57;-8690
6923;0.00;0.04;-1.00;0.00;58;-59;-8690
6940;0.00;0.04;-1.00;0.00;60;-58;-8698
6960;0.00;0.04;-1.00;0.00;62;-61;-8700
6976;0.00;0.04;-1.00;0.00;64;-62;-8701
6992;0.00;0.04;-1.00;0.00;66;-57;-8701
7010;0.00;0.04;-1.00;0.00;67;-53;-8698
7028;0.00;0.04;-1.00;0.00;65;-52;-8697
7046;0.00;0.04;-1.00;0.00;65;-54;-8701
7072;0.00;0.04;-1.00;0.00;63;-54;-8704
7091;0.00;0.04;-1.00;0.00;64;-55;-8705
7141;0.00;0.04;-1.00;0.00;65;-54;-8704
7160;0.00;0.04;-1.00;0.00;60;-56;-8705
7176;0.00;0.04;-1.00;0.00;59;-54;-8707
7195;0.00;0.04;-1.00;0.00;58;-52;-8704
7213;0.00;0.04;-1.00;0.00;62;-53;-8704
7229;0.00;0.04;-1.00;0.00;58;-53;-8699
7245;0.00;0.04;-1.00;0.00;58;-56;-8696
7264;0.00;0.04;-1.00;0.00;61;-56;-8698
7282;0.00;0.04;-1.00;0.00;58;-57;-8697
7298;0.00;0.04;-1.00;0.00;61;-58;-8693
7315;0.00;0.04;-1.00;0.00;63;-59;-8686
7333;0.00;0.04;-1.00;0.00;63;-55;-8680
7352;0.00;0.04;-1.00;0.00;61;-53;-8686
7368;0.00;0.04;-1.00;0.00;61;-56;-8691
7388;0.00;0.04;-1.00;0.00;61;-56;-8692
7407;0.00;0.04;-1.00;0.00;58;-52;-8693
7423;0.00;0.04;-1.00;0.00;56;-48;-8698
7440;0.00;0.04;-1.00;0.00;51;-48;-8697
7457;0.00;0.04;-1.00;0.00;55;-54;-8700
7476;0.00;0.04;-1.00;0.00;54;-55;-8693
7493;0.00;0.04;-1.00;0.00;55;-58;-8692
7509;0.00;0.04;-1.00;0.00;53;-58;-8692
7527;0.00;0.04;-1.00;0.00;59;-59;-8696
7545;0.00;0.04;-1.00;0.00;59;-56;-8697
7563;0.00;0.04;-1.00;0.00;55;-57;-8690
7578;0.00;0.04;-1.00;0.00;56;-58;-8694
7603;0.00;0.04;-1.00;0.00;62;-54;-8683
7624;0.00;0.04;-1.00;0.00;61;-52;-8687
7640;0.00;0.04;-1.00;0.00;61;-53;-8689
7658;0.00;0.04;-1.00;0.00;61;-56;-8692
8682;0.00;0.04;-1.00;0.00;63;-51;-8688
8699;0.00;0.04;-1.00;0.00;63;-51;-8691
8717;0.00;0.04;-1.00;0.00;64;-51;-8692
8734;0.00;0.04;-1.00;0.00;58;-54;-8697
8752;0.00;0.04;-1.00;0.00;58;-56;-8696
8769;0.00;0.04;-1.00;0.00;57;-56;-8699
8786;0.00;0.04;-1.00;0.00;60;-56;-8696
8804;0.00;0.04;-1.00;0.00;62;-53;-8696
8820;0.00;0.04;-1.00;0.00;62;-52;-8694
8838;0.00;0.04;-1.00;0.00;65;-55;-8692
8859;0.00;0.04;-1.00;0.00;70;-53;-8689
8876;0.00;0.04;-1.00;0.00;65;-55;-8692
8893;0.00;0.04;-1.00;0.00;60;-52;-8695
8910;0.00;0.04;-1.00;0.00;60;-49;-8693
8929;0.00;0.04;-1.00;0.00;60;-51;-8693
8946;0.00;0.04;-1.00;0.00;61;-56;-8693
8961;0.00;0.04;-1.00;0.00;58;-57;-8695
8979;0.00;0.04;-1.00;0.00;61;-58;-8697
8998;0.00;0.04;-1.00;0.00;59;-57;-8701
9015;0.00;0.04;-1.00;0.00;57;-56;-8701
9031;0.00;0.04;-1.00;0.00;59;-54;-8695
9048;0.00;0.04;-1.00;0.00;62;-56;-8695
9067;0.00;0.04;-1.00;0.00;64;-63;-8697
9087;0.00;0.04;-1.00;0.00;57;-59;-8704
9103;0.00;0.04;-1.00;0.00;54;-59;-8694
9122;0.00;0.04;-1.00;0.00;55;-60;-8683
9141;0.00;0.04;-1.00;0.00;56;-60;-8686
9157;0.00;0.04;-1.00;0.00;56;-59;-8687
9182;0.00;0.04;-1.00;0.00;59;-53;-8683
9201;0.00;0.04;-1.00;0.00;58;-51;-8683
9219;0.00;0.04;-1.00;0.00;59;-54;-8688
9235;0.00;0.04;-1.00;0.00;59;-59;-8689
9251;0.00;0.04;-1.00;0.00;66;-59;-8692
9270;0.00;0.04;-1.00;0.00;67;-60;-8694
9288;0.00;0.04;-1.00;0.00;66;-59;-8693
